"","player_api_id","player_name","no_of_appearences","overall_rating","gk_rating","no_of_leagues"
"383",73047,"Alessandro Lambrughi",1,67,111,1
"384",215725,"Alessandro Longhi",47,69,48,1
"385",27679,"Alessandro Lucarelli",189,75,151,1
"386",11747,"Alessandro Mangiarrati",52,60,120,1
"387",41411,"Alessandro Matri",148,81,120,1
"388",30723,"Alessandro Nesta",64,91,138,1
"389",41729,"Alessandro Parisi",28,78,154,1
"390",620524,"Alessandro Piu",1,63,50,1
"391",39314,"Alessandro Potenza",53,75,149,1
"392",167369,"Alessandro Riedle",2,64,133,1
"393",31304,"Alessandro Rosina",54,79,148,1
"394",461357,"Alessandro Schoepf",5,72,53,1
"395",42652,"Alessandro Sgrigna",4,72,114,1
"396",41269,"Alessio Cerci",111,82,116,1
"397",282706,"Alessio Cragno",7,70,338,1
"398",602306,"Alessio Da Cruz",1,63,66,1
"399",39197,"Alessio Manzoni",1,62,126,1
"400",362195,"Alessio Romagnoli",68,76,52,1
"401",41762,"Alessio Scarpi",9,75,385,1
"402",42482,"Alessio Sestu",15,73,143,1
"403",24469,"Alex Baptiste",10,72,114,1
"404",35480,"Alex Bruce",34,68,136,1
"405",363343,"Alex Bruno",15,65,50,1
"406",80566,"Alex Bruno",1,71,135,1
"407",39204,"Alex Calderoni",4,73,377,1
"408",306062,"Alex Cooper",8,60,54,1
"409",213500,"Alex Fernandez",3,74,64,1
"410",447488,"Alex Ferrari",12,67,50,1
"411",265618,"Alex Goncalves",8,70,50,1
"412",396888,"Alex Harris",12,62,53,1
"413",430433,"Alex Henshall",1,60,47,1
"414",604785,"Alex Iwobi",4,69,58,1
"415",282274,"Alex Kacaniklic",22,73,118,1
"416",470416,"Alex Kakuba",8,63,53,1
"417",33913,"Alex Keddie",35,59,57,1
"418",205034,"Alex Lopez",41,76,48,1
"419",155122,"Alex MacDonald",3,62,103,1
"420",39566,"Alex Manninger",59,77,389,2
"421",264293,"Alex Martinez",12,72,67,1
"422",119079,"Alex McCarthy",11,75,368,1
"423",282689,"Alex Menendez",11,70,48,1
"424",32924,"Alex Neil",59,69,135,1
"425",196386,"Alex Oxlade-Chamberlain",24,79,49,1
"426",49709,"Alex Pearce",12,72,118,1
"427",213493,"Alex Perez",1,63,59,1
"428",41136,"Alex Pinardi",3,71,150,1
"429",408994,"Alex Portillo",1,54,52,1
"430",157865,"Alex Sandro",98,82,136,2
"431",262753,"Alex Schalk",48,67,50,2
"432",34650,"Alex Silva",11,77,122,1
"433",478988,"Alex Soares",40,71,47,1
"434",23678,"Alex Song",131,83,142,2
"435",428672,"Alex Telles",18,77,58,1
"436",41975,"Alex Valentini",11,66,326,1
"437",41766,"Alex Von Schwedler",1,65,50,1
"438",150396,"Alex",11,78,99,1
"439",163838,"Alex",16,75,118,1
"440",26564,"Alex",159,87,130,3
"441",186923,"Alexander Bannink",7,65,136,1
"442",27306,"Alexander Baumjohann",34,74,135,1
"443",118434,"Alexander Buettner",64,75,130,3
"444",27535,"Alexander Bugera",31,69,139,1
"445",317565,"Alexander Corryn",2,64,51,1
"446",422127,"Alexander Cristovao",1,61,49,1
"447",407765,"Alexander Djiku",21,60,48,1
"448",128106,"Alexander Dragovic",76,78,120,1
"449",147735,"Alexander Esswein",76,75,56,1
"450",31672,"Alexander Farnerud",86,75,130,2
"451",438780,"Alexander Fransson",7,69,49,1
"452",34102,"Alexander Frei",115,81,112,2
"453",71764,"Alexander Gerndt",76,72,113,2
"454",190525,"Alexander Gonzalez",41,66,55,1
"455",459000,"Alexander Hack",6,65,32,1
"456",38206,"Alexander Iashvili",13,75,128,1
"457",27297,"Alexander Laas",1,71,148,1
"458",34420,"Alexander Madlung",66,76,139,1
"459",40295,"Alexander Mathisen",1,66,117,1
"460",27478,"Alexander Meier",135,79,154,1
"461",192504,"Alexander Merkel",19,75,50,2
"462",169569,"Alexander Milosevic",9,72,51,1
"463",181333,"Alexander Ring",1,72,40,1
"464",203755,"Alexander Scholz",43,74,48,1
"465",248437,"Alexander Schwolow",1,69,343,1
"466",440330,"Alexander Soerloth",6,65,58,1
"467",71524,"Alexander Stephan",11,65,323,1
"468",40100,"Alexander Tettey",78,75,165,2
"469",3517,"Alexandr Kerzhakov",17,82,149,1
"470",25824,"Alexandre Alphonse",55,69,120,2
"471",750584,"Alexandre Azevedo",1,58,54,1
"472",155075,"Alexandre Barthe",10,65,57,1
"473",24122,"Alexandre Bonnet",4,69,143,1
"474",265727,"Alexandre Coeff",27,71,109,3
"475",93996,"Alexandre Cuvillier",35,71,132,1
"476",39749,"Alexandre D'Acol",3,64,47,1
"477",21657,"Alexandre Di Gregorio",6,59,116,1
"478",33840,"Alexandre Geijo",23,74,135,2
"479",3140,"Alexandre Hauw",35,69,136,1
"480",169193,"Alexandre Lacazette",143,84,121,1
"481",210387,"Alexandre Letellier",17,69,338,1
"482",26213,"Alexandre Licata",11,76,136,1
"483",560900,"Alexandre Mendy",1,66,67,1
"484",114021,"Alexandre Pasche",21,62,110,1
"485",46554,"Alexandre Pato",62,85,128,2
"486",34055,"Alexandre Quennoz",4,63,128,1
"487",46342,"Alexandre Raineau",41,69,115,1
"488",571296,"Alexandre Silva",3,69,65,1
"489",42321,"Alexandros Tziolis",25,72,151,3
"490",42306,"Alexandros Tzorvas",12,76,376,1
"491",298923,"Alexandru Maxim",45,77,50,1
"492",41941,"Alexei Jr Eremenko",41,73,156,1
"493",277443,"Alexi Peuget",11,66,50,1
"494",687572,"Alexis Alegue Elandi",1,58,63,1
"495",605848,"Alexis Blin",15,68,45,1
"496",571681,"Alexis De Sart",1,57,63,1
"497",50657,"Alexis Norambuena Ruz",122,64,131,1
"498",281019,"Alexis Rolin",25,74,48,1
"499",50047,"Alexis Sanchez",196,86,149,3
"500",26275,"Alexis Thebaux",111,77,387,1
"501",37479,"Alexis",119,80,138,1
"502",303089,"Alexy Bosetti",21,71,49,1
"503",641042,"Alfonso Artabe",1,60,41,1
"504",27667,"Alfonso De Lucia",11,70,347,1
"505",629594,"Alfonso Pedraza",1,69,51,1
"506",280510,"Alfonso Taira",27,66,54,1
"507",317156,"Alfred Duncan",54,73,39,1
"508",129918,"Alfred Finnbogason",89,76,63,4
"509",111801,"Alfred N'Diaye",79,77,127,3
"510",239946,"Alfredo Morales",19,71,63,1
"511",213649,"Alfredo Ortuno",2,66,111,1
"512",46412,"Alharbi El Jadeyaoui",6,69,76,1
"513",242889,"Alhassan Wakaso",51,71,59,1
"514",256727,"Alhassane Bangoura",67,77,39,2
"515",286117,"Alhassane Keita",13,65,50,1
"516",41718,"Alhassane Keita",10,76,133,2
"517",476771,"Ali Adnan",19,72,59,1
"518",190741,"Ali Ahamada",131,75,377,1
"519",25156,"Ali Al-Habsi",101,79,387,1
"520",25535,"Ali Boussaboun",17,66,57,1
"521",420224,"Ali Ghazal",86,77,55,1
"522",211139,"Ali M'Madi",3,67,51,1
"523",209371,"Ali Messaoud",23,67,54,2
"524",512728,"Ali Yasar",1,57,41,1
"525",261332,"Alim Oezturk",21,65,47,1
"526",166577,"Aliou Dia",14,63,63,1
"527",610533,"Alioun Fall",1,65,58,1
"528",167285,"Alireza Haghighi",25,68,325,1
"529",466890,"Alireza Jahanbakhsh",28,71,47,1
"530",190493,"Alistair Crawford",70,65,63,1
"531",169752,"Aljaz Struna",11,67,41,1
"532",26503,"Alje Schut",39,70,114,1
"533",32496,"Allan McGregor",187,80,397,2
"534",213809,"Allan Nyom",162,77,52,2
"535",24364,"Allan Russell",7,63,135,1
"536",466482,"Allan Saint-Maximin",1,66,45,2
"537",188652,"Allan",128,81,44,1
"538",676625,"Allan",1,63,44,1
"539",563216,"Almamy Toure",13,69,52,1
"540",95681,"Almeida Anderson do Oliveira",39,68,50,1
"541",128851,"Almeida Borges Leandro",1,59,36,1
"542",25816,"Almen Abdi",38,74,146,4
"543",174093,"Almog Cohen",32,70,45,1
"544",634113,"Alois Confais",10,56,53,1
"545",39978,"Alou Diarra",129,81,145,2
"546",17276,"Aloys Nong",43,70,111,1
"547",254455,"Alpaslan Ozturk",23,72,49,1
"548",210164,"Alphonse Areola",68,80,394,2
"549",94021,"Alphousseyni Keita",22,66,124,2
"550",27351,"Altin Lala",4,75,152,1
"551",264743,"Alvarinho",17,66,51,1
"552",299653,"Alvaro Ampuero",2,66,47,1
"553",46211,"Alvaro Anton",1,73,152,1
"554",37442,"Alvaro Arbeloa",158,82,148,2
"555",201916,"Alvaro Arroyo",28,68,50,1
"556",183350,"Alvaro Cejudo",101,74,143,1
"557",114044,"Alvaro Dominguez",146,78,132,2
"558",50104,"Alvaro Dominguez",44,71,137,1
"559",141662,"Alvaro Fernandez",3,71,136,1
