,university_name,alumni,award,hici,ns,pub,result.cluster
435,New Mexico State University,0,0,11.1,6.6,22.6,3
436,Northeastern University,0,0,7.9,9.4,24.6,3
437,Northern Arizona University,0,0,11.1,12,15.1,3
438,Old Dominion University,0,0,11.1,6.2,18.1,3
439,Osaka City University,0,0,0,8,28.7,3
440,Osaka Prefecture University,0,0,11.1,2.2,25,3
441,Polytechnic University of Turin,0,0,11.1,1.6,24.9,3
442,Polytechnic University of Valencia,0,0,0,9.2,26.4,3
443,Saarland University,0,0,0,9.6,27.8,3
444,Sao Paulo State University,0,0,0,2.2,32,3
445,Southern Methodist University,15.4,0,7.9,5.4,18.7,3
446,Swansea Univ,0,0,7.9,6.4,22.4,3
447,The College of  William and Mary,0,0,7.9,10.7,21.1,3
448,The Graduate University for Advanced Studies,0,0,0,16.1,18.7,3
449,The Royal Veterinary and Agricultural University,0,0,7.9,8.2,25.5,3
450,The University of Akron,0,0,11.1,4.9,22.3,3
451,The University of Connecticut Health Center,0,0,7.9,14.1,19.9,3
452,The University of Memphis,0,0,7.9,6.5,21.1,3
453,Tokyo Metropolitan University,0,0,7.9,10.1,24.2,3
454,University College Cork,0,0,13.6,3.5,22.5,3
455,University College Dublin,0,0,0,9,29.7,3
456,University of Bari,0,0,0,2.2,31.5,3
457,University of Bradford,0,0,11.1,5.9,19.8,3
458,University of Bremen,0,0,0,14.8,25.5,3
459,University of Calcutta,15.4,12.9,0,0,14.7,3
460,University of Canterbury,0,0,7.9,5.4,23.9,3
